playlist_id,name,num_tracks,track_list,artist_list,overall_genre,overall_mood
playlist_8376,Dixieland Blues,6,"['1kPpge9JDLpcj15qgrPbYX', '5Vv9gXd6HmKtjMgeQbYWq5', '0gn93i7HJt0calph67R5Wu', '2A9PS0ab2c3Jl8E4pRXYW1', '0zFGlXN7rbabwBqIHsvz6o', '1H5TcdTdMYvOfJ31SAA6H5']","['Owl City;Carly Rae Jepsen', 'Ella Fitzgerald', 'HUGEL;Amber Van Day', 'Los Amigos Invisibles', 'Johnny Maddox', 'The Local Train']",indie,Mixed
playlist_1788,Hits Of Vairamuthu,11,"['41dhwOsZC28x67fPC16IeK', '3wTCVt4NrEKKbhJiRjoUpU', '6Noj1s3Ld4BsiKPe8sQOKc', '1XcM5R8ytZTXDoBmTFzB66', '6wTRZqGXcMRXCXYFUAqXL4', '7yLysy4GtqecVYpC773q7g', '6qK47Oa7Vbumzeb69KuMhZ', '5xVGxxFjjFsyxGpXE0U8Qt', '1vaFImFBgOAgvQSHeLof16', '6XDnRajLGcV3NUbL3fY3yM', '5inWUDecQMC4l2eOFzaIaf']","['Nenhum De Nós', 'Amilcar Boscan', 'White Reaper', 'Traffic', 'Malena Muyala', 'Legião Urbana', 'Gorillaz;Beck', 'Hariharan;Sadhana Sargam', 'Rain Sounds;Rainfall;Rain for Deep Sleep;Rain Sounds Nature Collection;Fresh Water Spa;Sounds Of Nature : Thunderstorm, Rain', 'Aline Barros', 'Sub Urban;BENEE']",tango,Mixed
playlist_8270,2 é Demais,19,"['5ROOrYstPTY7mO0xBLFS2e', '0bk4vZzYmtZlKOltolZ7Zo', '18YHbIhrleUkKKj2DvEp79', '0jmL4X2k3Kz9iOAXQWpmBI', '3qUj53t2ogJMOOrmkqtuSs', '7zIghh6yq3ldfdwU0meLbu', '0OQ6khsXlri2wYI8HxJlqd', '7Chqf4yGnQlLWAWic9b0ET', '30BzGYPo3vemThl8N65MlV', '6NWEQmLBJ1G9rnv1jCZp8Z', '0IBfzm4cEZ0rQK5YGXjXNg', '5FZxsHWIvUsmSK1IAvm2pp', '1cshOR1GiQTcuL7ZiEReA7', '2P5yIMu2DNeMXTyOANKS6k', '2ChoXtbLnNS1SIIbBiwcOZ', '4bQPTF342jVUgisDgJGMDo', '0xcDUsknTawAv5VZKQ62aZ', '14rSIgekMulAiaXhvGfWvt', '1L8z4uYSKK8BC8fiMmyoWz']","['Internal Rot', 'Ultraje a Rigor', 'Pritam;KK', 'Carlos Gardel', 'Amaya Hnos', 'Diego & Arnaldo', 'Adam Cheng', 'Within Temptation', 'Dean Martin', 'Titus1', 'Toronto Is Broken;Natty Campbell;Matt Neux', 'Foo Fighters', 'The Smashing Pumpkins', 'Mitski', 'Lawineboys', 'Ilkan Gunuc;Emie', 'Wax Tailor', 'Moonbootica;Ante Perry', 'Edward Elgar;Royal Philharmonic Orchestra;Carl Davis']",grunge,Fear
playlist_8608,Virtual existence,15,"['22PEA9hscWITQmbUFg0Jas', '1QfE9NTcIN7p7GmnkbMT2W', '0GvL91DbfaR7t1qDnV0ll6', '61bdSdLMKeBOt2oNhV9VE4', '1wNdGz7BlB9kH5lDc1eLLb', '0A43Vnq27Uy8Rnin8E5e4Y', '3Ks3K2RmCxSUcXS6cOvd43', '7n73IrzzuSQBr7VoX8zZ1X', '3BajoSb3TjPbcOC873OjbD', '71au85QKTQzR2Rc4SH5R63', '20F0Vgjn2v1TYcOASE0J7f', '0THsOAEYrpm16RmcQOBA4t', '2Np9UILmMEQ8C1REZo8jbD', '5Z5TrgVSwgPnXIS6JzMU8w', '6x8xIapc9xcZlJ9HpCkrm9']","['Armin van Buuren;Jorn Van Deynhoven', 'Toini & The Tomcats', 'Gerson Rufino', 'Wolfgang Amadeus Mozart;Danielle Laval', 'Lil Tjay', 'Upon A Burning Body', 'Sodom', 'Kristin Chenoweth;Promises, Promises Ensemble (2010)', 'Luke Chiang;Alexis Kim', 'Akcent', 'S3RL', 'Ami Warning', 'Kahtmayan', 'Alfredo De Angelis;Orquesta de Alfredo De Angelis;Juan Carlos Godoy', 'Bobby Vinton']",happy,Sad
playlist_5840,Serie De Oro,19,"['1j2y95K4ZTmmDJEHBYWcwo', '4ZbQvhuML79GPnoxloXE0j', '5ubgAizDbpIWezMZ2W9Nwt', '6zDClvK9B4y3FEciNRqhR1', '2PUkeLu4dsa0F3hmDb5Chi', '3E9ryvrKP3hUWX79PAakH2', '4J8yNRPLsdfO1jFgt1ZM5u', '3gkwsu7aHT9WLFkl2Q0RPX', '6S4CAlzs3rNCYelbU2EY36', '1eau7EVXGFffQAGYFxIx6w', '64cc7wgJnZnzADtEqhFwWl', '1FIfsfbOqC4zCf6uwwAxrx', '00PBSElFPJbnIcFS7orAm2', '6gI8YckvaJ0En2tyqxnJaP', '1SlJLYLXORVbyccJlnoJRl', '3zYcdTFPsQrh4az4YY1wmg', '0Rx0DJI556Ix5gBny6EWmn', '0kKuVSnv97w8dZ0yjde1KU', '33OpnJIOzK24V5uH58cvQ1']","['Tita Merello', 'Lookas;Krewella;WE ARE FURY', 'Samuel Mariano', 'Zayde Wølf', 'Gece', 'Palak Muchhal;Arijit Singh', 'Corvad', 'Stevie Wonder', 'The Shapeshifters', 'iamjakehill', 'We The Heathens', 'LA INDIA', 'Jhayco', 'Horcas', 'BiSH', 'Pixel Terror', 'Bazzi', 'Katinguelê', 'Havoc Mathan;Havoc Naven;John Dice']",pop-film,Mixed
playlist_2980,一表人才,14,"['3A24x0ZYcRZoPpI5twRDyj', '4Sinv2r04N7RY6a6DFTlFG', '6s3uW6Z1o2txHNCEfhq1lS', '72zHuDxFQTjbL51qJQSA7j', '6zeblz6qaURo2JphS7XeFz', '357pRaRB0tID9c98Eg2TDn', '5Kpqr7t4KCI8vrnWrQ4H7B', '1RjU7UhRICmdFPKxCucLgq', '1fHXcTJfG9iNwznjgnWnHz', '6EkeTn530FSyUGdoC7ZpoL', '59Pm53KuA0xaLHcSAX94wk', '3koAwrM1RO0TGMeQJ3qt9J', '4wbgGkkhCiRdD0WDdzSxsZ', '1QQ1Dx8dcLgWvUaY5fk84y']","['Floyd Cramer', 'Diogo Nogueira', 'Manger Cadavre?', 'Jasleen Royal;B Praak;Romy;Anvita Dutt', 'Edan 呂爵安;Feng Ze', 'Ella Fitzgerald;Louis Armstrong', 'ILLENIUM;Valerie Broussard;NURKO', 'Mobb Deep', 'Peggy Lee', 'Connie Francis', 'The Chemical Brothers', 'Good Morning', 'Tomas Andersson Wij', 'Zeus X Crona;Julius Dreisig']",garage,Mad
playlist_7604,El Nene Con el Flow,5,"['71HcKKNwvQ8Jv6lbBEi4oO', '70P8ZCFhGq0VURIE4N9DW2', '2bB6iDVgm25WkYv0yBz1BD', '1f9jv3jIHqwZhVW7NMAgYN', '0S0rlh59DhpPheILyXYX76']","['Yiordano Ignacio', 'Charlie Brown Jr.', 'Kiasmos', 'Pantera', 'Tove Lo;Charli XCX;Icona Pop;Elliphant;ALMA']",hard-rock,Happy
playlist_7296,Mi Guitarra... Tú y Yo,12,"['2y2ygbuPYTQooQnKsqqjGw', '40hdtURHdXL441fg20L5gI', '1bKQ48M9onID2kbSpRy8kK', '2e7LBdeiidf0ZC5Qj52u0G', '3fCh9DjM8GqDGsS3KIHSss', '3bjg5cbmuwDoS7e2dAWyRG', '249XHhBxBOblTCYStaC27L', '2LwgAxHQLXlu0L45Jj7Tag', '20vLGVDLfbzdh3vbSpSuj8', '3m2jKnyeVKdTDFphqa2vou', '2cppGOIz0cuDnKoGzrDsJQ', '51bwChuoablcgmmSjvwe8Y']","['Rosana', 'Gelena Velikanova', 'Scorpions', 'STU48', 'Chez Damier;Ron Trent;M.D', 'BTS', 'Accept', 'Cacho Tirao', 'Daddy Yankee;Wisin & Yandel', 'Crows in the Rain', 'The Score', 'James Hype;Ayak;Dots Per Inch;TS7']",tango,Sad
playlist_5939,Ты моя Москва,6,"['37eGbhE1xVFSvcKkqGb6i1', '1ryH3lEGX8dn6YhpJvp1YF', '58zM8eyUWtoX4V3qpJ7pxC', '4QtkuEXUmPI29GYjm3vILr', '4UVkpm1zm3ANOCeXoIxAhU', '0cXMVqkvlhmrS5cQ1JU13S']","['Sean Paul;J Balvin', 'Paul Simon', 'Villem;Mcleod', 'Kvatro', 'B.B. King', ""Livin' Joy;A. Manetta""]",dancehall,Mixed
playlist_7868,Nobody To Love (with Loren Gray),16,"['1rw6CYYHLFBISRtZxYP8sh', '7DvR34weBiIehUpND2sN6O', '5j5gYFCv8Du7NEVll7pbOC', '0SSIu4CcGITHdatDmjlA6H', '6nzXkCBOhb2mxctNihOqbb', '0dMK89EYXVImTiv9GCG4Fr', '7C9wYAslZ7ffzhJZTyaCYs', '0EfdF8WWM6tSCM9V04fnKv', '3HBifoZvJ5ThoUuYdHpKpr', '46fMdAcdzJR9qrJ71Omn8O', '531NEqHzkmrYGD75yJLQ37', '3OjUTDXJC6GyUtfSQnUKBa', '4ncTUgTfUV3wrjTPzKvn01', '23uAr1uFchpIySa5wpdnWl', '5x9BWvLcvawwnoyFEIanI4', '7H7NyZ3G075GqPx2evsfeb']","['Michael Bublé', 'From Alfie', 'Avicii', 'TELYKast;Loren Gray', 'M.I.A.', 'AKB48', 'Zach Bryan', 'Charlie Brown Jr.', 'Sued Silva', 'Pappo', 'Giorgio Moroder;Al-Faris;Carmelo Carone', 'Chino Laborde;Solo Tango Orquesta', 'BTS', 'The Birthday Massacre', 'The Prophet', 'Mac DeMarco']",tango,Mad
