user_id,preferred_genres,playlists
user_1,"['rock', 'metal', 'anime']","['playlist_2867', 'playlist_2201', 'playlist_9954', 'playlist_2836', 'playlist_5209', 'playlist_5691', 'playlist_6524', 'playlist_7913', 'playlist_3170', 'playlist_6780', 'playlist_8716', 'playlist_1872', 'playlist_4597', 'playlist_8103', 'playlist_1688', 'playlist_6252']"
user_2,"['electronic', 'pop']","['playlist_6440', 'playlist_9034', 'playlist_5779', 'playlist_7241', 'playlist_9554', 'playlist_7236', 'playlist_4208', 'playlist_9073', 'playlist_9619', 'playlist_7407']"
user_3,"['classical', 'jazz']","['playlist_8324', 'playlist_4264', 'playlist_3573', 'playlist_9077', 'playlist_4781', 'playlist_6808', 'playlist_5430', 'playlist_5068', 'playlist_9245', 'playlist_3258', 'playlist_4739', 'playlist_9136', 'playlist_4087', 'playlist_2811', 'playlist_5966', 'playlist_8452', 'playlist_7257', 'playlist_4153', 'playlist_6504', 'playlist_3681', 'playlist_3351', 'playlist_7821', 'playlist_4500', 'playlist_8427', 'playlist_5458', 'playlist_9982', 'playlist_7434', 'playlist_8564', 'playlist_6935', 'playlist_2379', 'playlist_1508', 'playlist_6485', 'playlist_9339', 'playlist_8026', 'playlist_8562']"
user_4,"['acoustic', 'folk', 'indie']","['playlist_8376', 'playlist_1338', 'playlist_5203', 'playlist_4103', 'playlist_7267', 'playlist_3987', 'playlist_8084', 'playlist_9938', 'playlist_7537', 'playlist_4327']"
user_5,"['hip-hop', 'r-n-b', 'soul']","['playlist_9973', 'playlist_1612', 'playlist_2841', 'playlist_3418', 'playlist_8839', 'playlist_2271', 'playlist_2578', 'playlist_3753', 'playlist_2163', 'playlist_6383', 'playlist_3946', 'playlist_6680', 'playlist_2925', 'playlist_4786', 'playlist_2478', 'playlist_5087', 'playlist_1137', 'playlist_9265', 'playlist_9767', 'playlist_1028', 'playlist_4641', 'playlist_8934', 'playlist_9056', 'playlist_7770', 'playlist_1088', 'playlist_4213', 'playlist_8033', 'playlist_6119', 'playlist_2957', 'playlist_7222', 'playlist_7220', 'playlist_9842', 'playlist_5313', 'playlist_9266', 'playlist_5980', 'playlist_1266', 'playlist_4255', 'playlist_3904', 'playlist_1114', 'playlist_2812', 'playlist_9579', 'playlist_4384', 'playlist_9507', 'playlist_8512']"
user_6,"['country', 'blues', 'rock-n-roll']","['playlist_5211', 'playlist_8128', 'playlist_7464', 'playlist_4600', 'playlist_5333', 'playlist_2764', 'playlist_8569', 'playlist_6586', 'playlist_6679', 'playlist_9106', 'playlist_5598', 'playlist_5256', 'playlist_9140', 'playlist_7281', 'playlist_7828']"
user_7,"['edm', 'dance', 'dubstep']","['playlist_5682', 'playlist_6198', 'playlist_1851', 'playlist_9969', 'playlist_9156', 'playlist_2825', 'playlist_1666', 'playlist_3841', 'playlist_1000', 'playlist_8423', 'playlist_3670', 'playlist_8068', 'playlist_3039', 'playlist_9443', 'playlist_6087', 'playlist_6444', 'playlist_3240', 'playlist_2076', 'playlist_6215', 'playlist_5685']"
user_8,"['punk', 'punk-rock', 'alternative']","['playlist_7732', 'playlist_9348', 'playlist_7979', 'playlist_6150', 'playlist_2017', 'playlist_3338', 'playlist_1380', 'playlist_3626', 'playlist_7464', 'playlist_1069', 'playlist_9131', 'playlist_6731', 'playlist_1507']"
user_9,"['indie-pop', 'electro', 'chill']","['playlist_6647', 'playlist_4610', 'playlist_3197', 'playlist_5758', 'playlist_5985', 'playlist_9670', 'playlist_1090', 'playlist_9718', 'playlist_6419', 'playlist_6377', 'playlist_4430', 'playlist_3492', 'playlist_3431']"
user_10,"['metalcore', 'hardcore', 'death-metal']","['playlist_9680', 'playlist_6184', 'playlist_1517', 'playlist_8458', 'playlist_3341', 'playlist_2906', 'playlist_3727', 'playlist_4814', 'playlist_4650', 'playlist_6500', 'playlist_9593', 'playlist_7721', 'playlist_9062', 'playlist_2939', 'playlist_4533', 'playlist_3211', 'playlist_3195', 'playlist_9240', 'playlist_6495', 'playlist_6521', 'playlist_6000', 'playlist_5914']"
user_11,"['disco', 'funk', 'groove']","['playlist_9918', 'playlist_7063', 'playlist_2206', 'playlist_4049', 'playlist_3744', 'playlist_4446', 'playlist_7787', 'playlist_4852', 'playlist_8947', 'playlist_5999', 'playlist_9063', 'playlist_2751', 'playlist_2411']"
